code,name,description,refreshed_at,from_date,to_date
BOM502850,GAEKWAR MILLS LTD. EOD Prices,End of Day prices and additional trading information for GAEKWAR MILLS LTD. EOD Prices.,2019-02-01 13:23:49,2010-08-05,2018-12-03
BOM502865,FORBES & COMPANY LTD.-$ EOD Prices,End of Day prices and additional trading information for FORBES & COMPANY LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM502873,H.P.COTTON TEXTILE MILLS LTD. EOD Prices,End of Day prices and additional trading information for H.P.COTTON TEXTILE MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1992-10-22,2019-01-31
BOM502893,United Interactive Ltd. EOD Prices,End of Day prices and additional trading information for United Interactive Ltd. EOD Prices.,2015-11-12 11:56:32,1991-02-15,2015-02-20
BOM502901,JAMSHRI RANJITSINGHJI SPG. & WVG. MILLS CO.LTD.-$ EOD Prices,End of Day prices and additional trading information for JAMSHRI RANJITSINGHJI SPG. & WVG. MILLS CO.LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-07,2019-01-18
BOM502933,KATARE SPINNING MILLS LTD. EOD Prices,End of Day prices and additional trading information for KATARE SPINNING MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-28
BOM502937,KESORAM INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for KESORAM INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM502958,LAKSHMI MILLS COMPANY LTD.-$ EOD Prices,End of Day prices and additional trading information for LAKSHMI MILLS COMPANY LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM502986,VARDHMAN TEXTILES LTD. EOD Prices,End of Day prices and additional trading information for VARDHMAN TEXTILES LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-11,2019-01-31
BOM502995,MALWA COTTON SPINNING MILLS LTD. EOD Prices,End of Day prices and additional trading information for MALWA COTTON SPINNING MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2018-04-30
BOM503015,MODERN INDIA LTD.-$ EOD Prices,End of Day prices and additional trading information for MODERN INDIA LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-06-06,2019-01-28
BOM503031,PENINSULA LAND LTD. EOD Prices,End of Day prices and additional trading information for PENINSULA LAND LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-31
BOM503092,PASUPATI SPG.& WVG.MILLS LTD. EOD Prices,End of Day prices and additional trading information for PASUPATI SPG.& WVG.MILLS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-04
BOM503100,The Phoenix Mills Ltd EOD Prices,End of Day prices and additional trading information for The Phoenix Mills Ltd EOD Prices.,2019-02-01 13:23:49,1995-10-12,2019-01-31
BOM503101,MARATHON NEXTGEN REALTY LTD. EOD Prices,End of Day prices and additional trading information for MARATHON NEXTGEN REALTY LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-03,2019-01-30
BOM503127,RAJA BAHADUR INTERNATIONAL LTD. EOD Prices,End of Day prices and additional trading information for RAJA BAHADUR INTERNATIONAL LTD. EOD Prices.,2019-02-01 13:23:49,1992-03-31,2019-01-29
BOM503162,RELIANCE CHEMOTEX INDUSTRIES LTD.-$ EOD Prices,End of Day prices and additional trading information for RELIANCE CHEMOTEX INDUSTRIES LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-02-15,2019-01-31
